id,is_churned,recency_days,frequency_180d,monetary_180d,r_score,f_score,m_score,risk_points,risk_segment
1511,0,0,567.0,22755.77,2.0,3.0,3.0,10.0,Medium
900,0,0,446.0,25409.13,2.0,3.0,3.0,10.0,Medium
953,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
233,0,0,373.0,34737.97,2.0,2.0,4.0,10.0,Medium
406,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1069,0,0,639.0,27502.99,2.0,4.0,3.0,9.0,Medium
180,0,0,310.0,10612.24,2.0,2.0,2.0,12.0,High
996,0,0,810.0,38735.19,2.0,4.0,4.0,8.0,Medium
1866,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1981,0,1,314.0,25518.19,2.0,2.0,3.0,11.0,High
870,0,0,620.0,28534.02,2.0,4.0,3.0,9.0,Medium
16,0,0,348.0,24718.63,2.0,2.0,3.0,11.0,High
46,0,0,462.0,29094.22,2.0,3.0,3.0,10.0,Medium
800,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1968,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
697,0,0,224.0,20994.45,2.0,2.0,3.0,11.0,High
1269,0,0,679.0,32268.71,2.0,4.0,3.0,9.0,Medium
1782,0,0,298.0,15682.17,2.0,2.0,2.0,12.0,High
1977,0,0,596.0,25464.25,2.0,3.0,3.0,10.0,Medium
1734,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1913,0,0,545.0,31601.95,2.0,3.0,3.0,10.0,Medium
858,0,0,810.0,47344.97,2.0,4.0,4.0,8.0,Medium
606,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1564,0,0,429.0,19456.95,2.0,3.0,2.0,11.0,High
1109,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1301,0,0,786.0,32586.94,2.0,4.0,3.0,9.0,Medium
1399,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1775,0,0,1529.0,82053.56,2.0,4.0,4.0,8.0,Medium
1673,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1957,1,2464,0.0,0.0,1.0,1.0,1.0,15.0,High
1033,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1024,0,0,803.0,25523.57,2.0,4.0,3.0,9.0,Medium
1441,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1103,0,0,646.0,28490.39,2.0,4.0,3.0,9.0,Medium
431,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
165,0,0,744.0,69440.08,2.0,4.0,4.0,8.0,Medium
353,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1758,0,0,702.0,17724.02,2.0,4.0,2.0,10.0,Medium
1266,0,0,334.0,17968.98,2.0,2.0,2.0,12.0,High
1943,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
792,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1055,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1159,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1115,0,0,611.0,37855.62,2.0,3.0,4.0,9.0,Medium
38,0,0,689.0,32697.42,2.0,4.0,4.0,8.0,Medium
1027,0,0,388.0,34081.9,2.0,2.0,4.0,10.0,Medium
11,0,0,519.0,35253.05,2.0,3.0,4.0,9.0,Medium
871,0,0,880.0,34485.64,2.0,4.0,4.0,8.0,Medium
746,0,0,579.0,23320.37,2.0,3.0,3.0,10.0,Medium
1520,0,0,592.0,22985.23,2.0,3.0,3.0,10.0,Medium
1372,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1799,0,0,930.0,49453.62,2.0,4.0,4.0,8.0,Medium
1905,0,2,253.0,17934.93,2.0,2.0,2.0,12.0,High
130,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1990,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
593,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
540,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1155,0,0,647.0,34443.24,2.0,4.0,4.0,8.0,Medium
663,0,0,604.0,29276.08,2.0,3.0,3.0,10.0,Medium
1987,1,1369,0.0,0.0,1.0,1.0,1.0,15.0,High
1484,0,0,761.0,32793.01,2.0,4.0,4.0,8.0,Medium
417,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
298,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
306,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
607,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1769,0,0,898.0,29126.37,2.0,4.0,3.0,9.0,Medium
698,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
896,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1975,0,0,415.0,18425.1,2.0,2.0,2.0,12.0,High
645,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
227,0,0,492.0,41831.3,2.0,3.0,4.0,9.0,Medium
84,0,0,654.0,23577.75,2.0,4.0,3.0,9.0,Medium
1684,0,0,764.0,30492.93,2.0,4.0,3.0,9.0,Medium
745,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1508,0,0,334.0,12417.81,2.0,2.0,2.0,12.0,High
1158,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1427,0,0,407.0,28601.670000000002,2.0,2.0,3.0,11.0,High
352,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1948,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
724,0,1,320.0,20185.71,2.0,2.0,2.0,12.0,High
543,0,1,424.0,26645.2,2.0,2.0,3.0,11.0,High
1559,0,0,1573.0,71611.55,2.0,4.0,4.0,8.0,Medium
1199,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1745,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1950,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1397,0,0,468.0,18317.01,2.0,3.0,2.0,11.0,High
873,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1728,0,1,250.0,18823.48,2.0,2.0,2.0,12.0,High
299,0,1,202.0,12622.59,2.0,2.0,2.0,12.0,High
1742,0,0,495.0,25233.89,2.0,3.0,3.0,10.0,Medium
1004,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
301,0,0,592.0,22083.57,2.0,3.0,3.0,10.0,Medium
1011,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
906,0,0,426.0,22487.66,2.0,2.0,3.0,11.0,High
110,0,0,331.0,27409.49,2.0,2.0,3.0,11.0,High
1073,0,0,496.0,25128.94,2.0,3.0,3.0,10.0,Medium
705,0,0,1005.0,54825.79,2.0,4.0,4.0,8.0,Medium
820,0,0,664.0,33122.02,2.0,4.0,4.0,8.0,Medium
1188,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1128,0,0,393.0,19987.37,2.0,2.0,2.0,12.0,High
1479,0,1,291.0,13775.17,2.0,2.0,2.0,12.0,High
1594,0,0,459.0,18310.5,2.0,3.0,2.0,11.0,High
1485,0,0,596.0,22079.87,2.0,3.0,3.0,10.0,Medium
1390,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
644,0,0,302.0,17071.54,2.0,2.0,2.0,12.0,High
1912,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1584,0,0,281.0,15657.9,2.0,2.0,2.0,12.0,High
1803,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1824,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
340,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
650,0,0,315.0,18651.25,2.0,2.0,2.0,12.0,High
762,0,0,516.0,23522.64,2.0,3.0,3.0,10.0,Medium
1061,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1931,0,0,903.0,68491.42,2.0,4.0,4.0,8.0,Medium
702,0,0,694.0,47963.29,2.0,4.0,4.0,8.0,Medium
918,0,0,443.0,21791.5,2.0,3.0,3.0,10.0,Medium
1137,0,0,357.0,18406.29,2.0,2.0,2.0,12.0,High
66,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1406,0,1,401.0,10330.35,2.0,2.0,2.0,12.0,High
437,0,0,423.0,30514.14,2.0,2.0,3.0,11.0,High
806,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
891,0,0,635.0,26539.82,2.0,4.0,3.0,9.0,Medium
1191,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
701,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1147,0,0,1195.0,54004.3,2.0,4.0,4.0,8.0,Medium
1625,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1664,0,0,965.0,28774.72,2.0,4.0,3.0,9.0,Medium
1273,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1009,0,0,347.0,11899.16,2.0,2.0,2.0,12.0,High
1341,0,0,653.0,23283.35,2.0,4.0,3.0,9.0,Medium
925,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
824,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
563,0,0,892.0,46873.23,2.0,4.0,4.0,8.0,Medium
1612,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1700,0,1,345.0,9212.0,2.0,2.0,2.0,12.0,High
963,0,0,403.0,18104.27,2.0,2.0,2.0,12.0,High
904,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1586,0,0,598.0,40087.8,2.0,3.0,4.0,9.0,Medium
1286,0,0,714.0,40801.47,2.0,4.0,4.0,8.0,Medium
719,0,0,567.0,26017.04,2.0,3.0,3.0,10.0,Medium
1469,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
930,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1814,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1723,0,0,314.0,14858.28,2.0,2.0,2.0,12.0,High
1377,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
470,0,0,507.0,29074.47,2.0,3.0,3.0,10.0,Medium
1804,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
229,0,0,552.0,26832.06,2.0,3.0,3.0,10.0,Medium
1512,0,0,565.0,26634.89,2.0,3.0,3.0,10.0,Medium
1543,0,0,1111.0,63997.5,2.0,4.0,4.0,8.0,Medium
147,0,0,409.0,27956.57,2.0,2.0,3.0,11.0,High
1941,0,0,1005.0,45687.31,2.0,4.0,4.0,8.0,Medium
901,0,0,344.0,14472.26,2.0,2.0,2.0,12.0,High
191,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
12,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1828,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
29,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
181,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
995,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1218,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
186,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
171,0,0,866.0,68127.57,2.0,4.0,4.0,8.0,Medium
1401,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1314,0,0,926.0,42045.48,2.0,4.0,4.0,8.0,Medium
1560,0,3,288.0,17200.41,2.0,2.0,2.0,12.0,High
613,0,0,608.0,25161.79,2.0,3.0,3.0,10.0,Medium
346,0,0,437.0,28612.99,2.0,3.0,3.0,10.0,Medium
812,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
13,0,1,383.0,18479.75,2.0,2.0,2.0,12.0,High
602,0,0,723.0,33348.86,2.0,4.0,4.0,8.0,Medium
657,0,0,332.0,11731.3,2.0,2.0,2.0,12.0,High
909,0,0,2135.0,119062.74,2.0,4.0,4.0,8.0,Medium
183,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1792,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1599,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1267,0,0,271.0,21974.91,2.0,2.0,3.0,11.0,High
411,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
350,0,0,614.0,43266.83,2.0,3.0,4.0,9.0,Medium
1323,0,0,579.0,31070.22,2.0,3.0,3.0,10.0,Medium
934,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
421,0,0,969.0,33172.24,2.0,4.0,4.0,8.0,Medium
223,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1402,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1650,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
354,0,0,473.0,22768.29,2.0,3.0,3.0,10.0,Medium
314,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1457,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1613,0,0,496.0,34609.45,2.0,3.0,4.0,9.0,Medium
945,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
586,0,0,476.0,18943.62,2.0,3.0,2.0,11.0,High
119,0,3,374.0,25967.18,2.0,2.0,3.0,11.0,High
1312,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1529,0,0,835.0,36015.63,2.0,4.0,4.0,8.0,Medium
326,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1596,0,0,644.0,40891.97,2.0,4.0,4.0,8.0,Medium
714,0,0,458.0,16577.41,2.0,3.0,2.0,11.0,High
887,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1425,0,0,598.0,23711.04,2.0,3.0,3.0,10.0,Medium
1645,0,0,510.0,26853.1,2.0,3.0,3.0,10.0,Medium
1863,0,0,478.0,32936.07,2.0,3.0,4.0,9.0,Medium
1576,0,0,738.0,39065.5,2.0,4.0,4.0,8.0,Medium
1268,0,0,215.0,13673.03,2.0,2.0,2.0,12.0,High
1565,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1842,0,0,643.0,35439.38,2.0,4.0,4.0,8.0,Medium
664,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
485,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
244,0,0,241.0,14371.65,2.0,2.0,2.0,12.0,High
145,0,0,388.0,12956.67,2.0,2.0,2.0,12.0,High
866,0,0,476.0,22099.95,2.0,3.0,3.0,10.0,Medium
1424,0,0,774.0,42189.19,2.0,4.0,4.0,8.0,Medium
427,0,0,413.0,21433.13,2.0,2.0,3.0,11.0,High
684,0,0,355.0,18738.75,2.0,2.0,2.0,12.0,High
1643,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1300,0,0,693.0,18784.75,2.0,4.0,2.0,10.0,Medium
283,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
355,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1669,0,0,340.0,24128.4,2.0,2.0,3.0,11.0,High
937,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
845,0,0,523.0,25325.38,2.0,3.0,3.0,10.0,Medium
1518,0,0,373.0,21700.63,2.0,2.0,3.0,11.0,High
1591,0,0,1161.0,37537.96,2.0,4.0,4.0,8.0,Medium
1172,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1629,0,0,793.0,25197.99,2.0,4.0,3.0,9.0,Medium
675,0,0,512.0,20786.23,2.0,3.0,3.0,10.0,Medium
577,0,0,594.0,20465.59,2.0,3.0,3.0,10.0,Medium
854,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1261,0,0,408.0,29127.99,2.0,2.0,3.0,11.0,High
1227,0,0,669.0,31234.74,2.0,4.0,3.0,9.0,Medium
840,0,0,786.0,108594.75,2.0,4.0,4.0,8.0,Medium
733,0,0,766.0,59342.51,2.0,4.0,4.0,8.0,Medium
454,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
961,0,0,647.0,36121.75,2.0,4.0,4.0,8.0,Medium
768,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
817,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
78,1,1126,0.0,0.0,1.0,1.0,1.0,15.0,High
1334,0,0,347.0,15126.460000000001,2.0,2.0,2.0,12.0,High
1610,0,0,685.0,19381.25,2.0,4.0,2.0,10.0,Medium
108,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1308,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
780,0,0,438.0,15702.88,2.0,3.0,2.0,11.0,High
1340,0,0,1115.0,104034.45,2.0,4.0,4.0,8.0,Medium
1888,0,0,1995.0,157086.26,2.0,4.0,4.0,8.0,Medium
247,0,0,774.0,56293.39,2.0,4.0,4.0,8.0,Medium
238,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
915,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1927,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1658,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1208,0,0,585.0,22439.26,2.0,3.0,3.0,10.0,Medium
1255,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
85,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1382,0,0,1139.0,56950.27,2.0,4.0,4.0,8.0,Medium
1932,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1217,0,0,316.0,27134.19,2.0,2.0,3.0,11.0,High
514,0,0,488.0,23222.95,2.0,3.0,3.0,10.0,Medium
232,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
445,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1206,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1276,0,1,236.0,18071.8,2.0,2.0,2.0,12.0,High
875,0,0,173.0,9032.1,2.0,1.0,2.0,13.0,High
1546,0,0,371.0,19179.84,2.0,2.0,2.0,12.0,High
422,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
519,0,0,447.0,12227.95,2.0,3.0,2.0,11.0,High
1408,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1204,0,0,325.0,21365.28,2.0,2.0,3.0,11.0,High
276,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1133,0,0,458.0,20714.03,2.0,3.0,3.0,10.0,Medium
1035,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
710,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
582,0,0,314.0,24169.66,2.0,2.0,3.0,11.0,High
821,0,0,304.0,11340.16,2.0,2.0,2.0,12.0,High
1352,0,0,277.0,14954.65,2.0,2.0,2.0,12.0,High
831,0,0,392.0,22918.02,2.0,2.0,3.0,11.0,High
936,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
578,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1997,0,0,552.0,39198.0,2.0,3.0,4.0,9.0,Medium
258,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
851,0,1,349.0,16254.18,2.0,2.0,2.0,12.0,High
1951,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1978,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1897,0,0,687.0,37673.28,2.0,4.0,4.0,8.0,Medium
972,0,0,696.0,49432.44,2.0,4.0,4.0,8.0,Medium
1010,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1243,0,0,452.0,38884.81,2.0,3.0,4.0,9.0,Medium
1976,0,0,619.0,44227.04,2.0,4.0,4.0,8.0,Medium
91,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1606,0,1,233.0,25152.8,2.0,2.0,3.0,11.0,High
1201,0,0,403.0,43817.81,2.0,2.0,4.0,10.0,Medium
1887,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
195,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
874,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1317,0,0,446.0,16312.61,2.0,3.0,2.0,11.0,High
1311,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
785,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
662,0,0,792.0,45891.81,2.0,4.0,4.0,8.0,Medium
847,0,0,610.0,37083.22,2.0,3.0,4.0,9.0,Medium
685,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
617,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
23,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
339,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
280,0,0,486.0,33213.15,2.0,3.0,4.0,9.0,Medium
1473,0,0,346.0,15115.17,2.0,2.0,2.0,12.0,High
65,0,0,447.0,20375.02,2.0,3.0,2.0,11.0,High
1353,0,1,289.0,18893.27,2.0,2.0,2.0,12.0,High
736,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1670,0,0,459.0,28081.59,2.0,3.0,3.0,10.0,Medium
1776,0,0,2157.0,119089.9,2.0,4.0,4.0,8.0,Medium
1474,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
951,0,0,591.0,17747.91,2.0,3.0,2.0,11.0,High
1818,0,0,972.0,54044.71,2.0,4.0,4.0,8.0,Medium
1450,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1524,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
1789,0,0,546.0,22097.68,2.0,3.0,3.0,10.0,Medium
767,0,18200,0.0,0.0,1.0,1.0,1.0,15.0,High
678,0,0,349.0,11779.26,2.0,2.0,2.0,12.0,High
